category,total_revenue
health_beauty,1297355.8
watches_gifts,1253143.3
bed_bath_table,1092551.02
sports_leisure,1023996.34
computers_accessories,942277.57
furniture_decor,765093.89
housewares,666587.0
cool_stuff,662309.49
auto,616752.51
garden_tools,518217.54
toys,500295.09
baby,434479.61
perfumery,412754.81
telephony,339399.16
office_furniture,286158.96
computers,242811.61
stationery,239028.99
pet_shop,222932.3
musical_instruments,210928.73
small_appliances,200916.66
unknown,196601.06
electronics,166779.21
consoles_games,166114.63
fashion_bags_accessories,162219.83
luggage_accessories,148420.93
construction_tools_construction,146974.87
home_appliances_2,123265.31
home_construction,87618.34
agro_industry_and_commerce,83841.95
home_appliances,82290.52
furniture_living_room,73058.75
home_confort,64526.24
fixed_telephony,61701.26
air_conditioning,55962.38
audio,52450.37
small_appliances_home_oven_and_coffee,48945.71
kitchen_dining_laundry_garden_furniture,48501.07
books_general_interest,48197.45
construction_tools_safety,41977.51
construction_tools_lights,41738.9
industry_commerce_and_business,40055.61
food,30119.44
market_place,29350.1
costruction_tools_garden,26200.09
art,24721.97
fashion_shoes,24609.37
drinks,22854.56
furniture_bedroom,21925.68
signaling_and_security,21584.81
books_technical,19270.91
food_drink,16363.53
costruction_tools_tools,16072.9
fashion_male_clothing,11631.61
fashion_underwear_beach,10330.25
christmas_supplies,8826.84
tablets_printing_image,7840.31
cine_photo,6945.36
dvds_blu_ray,6459.139999999999
music,6258.2
books_imported,4851.85
furniture_mattress_and_upholstery,4835.88
party_supplies,4755.18
fashio_female_clothing,2803.64
la_cuisine,2303.98
fashion_sport,2119.51
arts_and_craftmanship,1814.01
diapers_and_hygiene,1567.59
flowers,1110.04
home_comfort_2,773.17
cds_dvds_musicals,730.0
fashion_childrens_clothes,569.85
security_and_services,283.28999999999996
